"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"ARI","6","NL",156,"90","66",".577","1","5.0","4.1","0.9","-0.2","0.7","92-64",-2,"11-6","50-28","40-38","9-3","28-21","67-49","23-17","39-35","51-31","6-4","12-8","21-9","9","26-21","64-45","90-66","0-0","94-62",-0.013,0.314,0.553,-0.0239999999999999,0.587,0.01,0.647,0.0700000000000001,0.641,0.0640000000000001,0.513,-0.0639999999999999,0.75,0.173,0.571,-0.00600000000000001,0.578,0.001,0.575,-0.002,0.527,-0.0499999999999999,0.622,0.045,0.6,0.023,0.6,0.023,0.7,0.123,0.577,0,NA,NA
"ATL","23","NL",154,"70","84",".455","-1","4.6","5.0","-0.5","-0.2","-0.7","70-84",0,"9-11","37-44","33-40","6-8","19-21","55-70","15-14","25-37","45-47","4-6","11-9","14-16","28","21-27","49-57","68-84","2-0","69-85",0,0.26,0.438,-0.017,0.462,0.00700000000000001,0.45,-0.005,0.457,0.002,0.452,-0.003,0.429,-0.026,0.475,0.02,0.44,-0.015,0.517,0.062,0.403,-0.052,0.489,0.034,0.4,-0.055,0.55,0.095,0.467,0.012,0.447,-0.00800000000000001,1,0.545
"BAL","18","AL",157,"75","82",".478","1","4.7","5.2","-0.5","0.3","-0.2","72-85",3,"8-10","46-35","29-47","12-4","21-19","49-59","26-23","25-46","50-36","3-7","5-15","13-17","24.5","23-25","52-57","66-75","9-7","71-86",0.019,0.255,0.479,0.001,0.477,-0.001,0.444,-0.034,0.568,0.09,0.382,-0.096,0.75,0.272,0.525,0.047,0.454,-0.024,0.531,0.053,0.352,-0.126,0.581,0.103,0.3,-0.178,0.25,-0.228,0.433,-0.045,0.468,-0.00999999999999995,0.562,0.0840000000000001
"BOS","5","AL",155,"91","64",".587","6","4.9","4.0","0.8","0.1","1.0","91-64",0,"16-4","46-28","45-36","15-3","22-17","73-47","18-17","26-20","65-44","9-1","14-6","19-11","7.5","24-22","67-42","78-59","13-5","92-63",0,0.252,0.522,-0.0649999999999999,0.615,0.028,0.8,0.213,0.622,0.035,0.556,-0.0309999999999999,0.833,0.246,0.564,-0.023,0.608,0.021,0.514,-0.073,0.565,-0.022,0.596,0.00900000000000001,0.9,0.313,0.7,0.113,0.633,0.046,0.569,-0.018,0.722,0.135
"CHC","7","NL",155,"87","68",".561","1","5.1","4.4","0.7","-0.2","0.5","88-67",-1,"12-8","46-32","41-36","6-3","24-16","66-54","21-14","32-34","55-34","8-2","12-8","19-11","11.5","35-35","52-33","86-67","1-1","89-66",-0.006,0.258,0.5,-0.0610000000000001,0.612,0.0509999999999999,0.6,0.0389999999999999,0.59,0.0289999999999999,0.532,-0.029,0.667,0.106,0.6,0.0389999999999999,0.55,-0.011,0.6,0.0389999999999999,0.485,-0.0760000000000001,0.618,0.0569999999999999,0.8,0.239,0.6,0.0389999999999999,0.633,0.072,0.562,0.001,0.5,-0.0610000000000001
"CHW","27","AL",155,"63","92",".406","1","4.4","5.1","-0.7","0.2","-0.5","68-87",-5,"6-14","36-41","27-51","4-5","19-23","43-66","20-26","22-47","41-45","5-5","9-11","14-16","35.5","25-28","38-64","60-89","3-3","67-88",-0.032,0.271,0.472,0.0659999999999999,0.373,-0.033,0.3,-0.106,0.468,0.062,0.346,-0.0600000000000001,0.444,0.038,0.452,0.046,0.394,-0.012,0.435,0.029,0.319,-0.087,0.477,0.071,0.5,0.094,0.45,0.044,0.467,0.061,0.403,-0.003,0.5,0.094
"CIN","26","NL",156,"66","90",".423","-6","4.7","5.4","-0.7","0.0","-0.7","68-88",-2,"5-15","39-42","27-48","3-7","13-19","58-64","8-26","32-56","34-34","3-7","8-12","13-17","33","24-33","42-57","65-85","1-5","67-89",-0.013,0.205,0.421,-0.002,0.424,0.001,0.25,-0.173,0.481,0.058,0.36,-0.063,0.3,-0.123,0.406,-0.017,0.475,0.052,0.235,-0.188,0.364,-0.059,0.5,0.077,0.3,-0.123,0.4,-0.023,0.433,0.01,0.433,0.01,0.167,-0.256
"CLE","2","AL",156,"98","58",".628","2","5.1","3.5","1.5","-0.1","1.5","103-53",-5,"6-14","45-30","53-28","4-2","20-14","63-34","35-24","25-21","73-37","8-2","18-2","28-2","1","37-17","61-41","94-55","4-3","105-51",-0.032,0.218,0.685,0.0570000000000001,0.598,-0.03,0.3,-0.328,0.6,-0.028,0.654,0.026,0.667,0.039,0.588,-0.04,0.649,0.021,0.593,-0.035,0.543,-0.085,0.664,0.036,0.8,0.172,0.9,0.272,0.933,0.305,0.631,0.003,0.571,-0.0570000000000001
"COL","9","NL",156,"84","72",".538","1","5.0","4.7","0.3","-0.2","0.2","83-73",1,"10-10","43-32","41-40","2-3","21-13","58-53","26-19","36-33","48-39","4-6","12-8","16-14","15","34-22","50-50","84-72","0-0","83-73",0.006,0.218,0.607,0.069,0.5,-0.038,0.5,-0.038,0.573,0.0349999999999999,0.506,-0.032,0.4,-0.138,0.618,0.08,0.523,-0.015,0.578,0.0399999999999999,0.522,-0.016,0.552,0.014,0.4,-0.138,0.6,0.0619999999999999,0.533,-0.005,0.538,0,NA,NA
"DET","29","AL",156,"62","94",".397","-7","4.6","5.6","-1.0","0.2","-0.7","64-92",-2,"8-12","34-47","28-47","1-4","16-22","42-73","20-21","27-38","35-56","2-8","4-16","7-23","37","27-29","35-65","61-89","1-5","63-93",-0.013,0.244,0.482,0.085,0.35,-0.047,0.4,0.003,0.42,0.023,0.373,-0.024,0.2,-0.197,0.421,0.024,0.365,-0.032,0.488,0.091,0.415,0.018,0.385,-0.012,0.2,-0.197,0.2,-0.197,0.233,-0.164,0.407,0.00999999999999995,0.167,-0.23
