"AwayTeam","HomeTeam","AwayP","HomeP","Away538Pct","Home538Pct"
"TBR","NYY","Blake Snell","Jordan Montgomery",40,60
"WSN","PHI","Gio Gonzalez","Jake Thompson",64,36
"BAL","PIT","Kevin Gausman","Trevor Williams",51,49
"TOR","BOS","J.A. Happ","Chris Sale",34,66
"MIN","CLE","Bartolo Colon","Josh Tomlin",34,66
"ATL","NYM","R.A. Dickey","Rafael Montero",50,50
"CIN","MIL","Deck McGuire","Zach Davies",38,62
"CHC","STL","Jake Arrieta","Carlos Martinez",51,49
"HOU","TEX","Dallas Keuchel","Cole Hamels",52,48
"LAA","CHW","Parker Bridwell","Chris Volstad",54,46
"DET","KCR","Anibal Sanchez","Jason Vargas",40,60
"MIA","COL","Jose Urena","Tyler Anderson",45,55
"SFG","ARI","Matt Moore","Robbie Ray",34,66
"SEA","OAK","James Paxton","Daniel Mengden",53,47
"SDP","LAD","Dinelson Lamet","Alex Wood",35,65
