"TEAM","GP","W","L","ERA","IP","ER","R","BB","SO","BAA","IperG"
"ARI","157","26","17","3.82","485.1","206","232","184","477",".240",3.05094339622642
"ATL","159","25","17","4.58","514.1","262","282","221","488",".244",3.23333333333333
"BAL","158","30","18","3.86","585.1","251","275","217","499",".253",3.67987421383648
"BOS","154","29","14","3.12","519.1","180","192","173","564",".225",3.26477987421384
"CHC","157","27","22","3.85","544.2","233","249","259","602",".223",3.42264150943396
"CHW","159","29","20","4.37","537.0","261","275","234","502",".244",3.37735849056604
"CIN","157","24","20","4.60","599.0","306","323","274","579",".247",3.76729559748428
"CLE","152","21","21","2.93","478.2","156","174","146","532",".228",3.00754716981132
"COL","158","24","18","4.39","539.2","263","279","204","540",".252",3.39119496855346
"DET","157","17","28","5.67","518.2","327","346","236","454",".284",3.25911949685535
"HOU","158","30","22","4.33","536.0","258","271","208","647",".235",3.37106918238994
"KCR","158","28","24","4.22","558.1","262","288","238","493",".253",3.51006289308176
"LAA","158","35","23","3.85","559.0","239","252","165","591",".239",3.51572327044025
"LAD","157","30","19","3.41","541.2","205","213","175","616",".221",3.40377358490566
"MIA","158","29","29","4.41","600.0","294","315","268","551",".259",3.77358490566038
"MIL","158","27","35","3.80","563.0","238","259","266","604",".239",3.54088050314465
"MIN","153","23","20","4.50","553.2","277","297","185","468",".263",3.47924528301887
"NYM","157","20","27","4.74","552.0","291","309","260","573",".262",3.47169811320755
"NYY","157","29","23","3.37","529.1","198","212","220","641",".206",3.32767295597484
"OAK","158","23","26","4.56","541.1","274","297","200","515",".248",3.40314465408805
"PHI","158","23","33","4.22","537.1","252","269","216","535",".254",3.37798742138365
"PIT","157","25","28","3.84","534.1","228","248","210","484",".248",3.35911949685535
"SDP","157","25","28","4.51","542.2","272","294","199","577",".238",3.41006289308176
"SFG","156","21","24","4.38","483.0","235","253","218","446",".259",3.0377358490566
"SEA","158","30","29","3.98","559.0","247","276","205","534",".243",3.51572327044025
"STL","156","21","29","3.85","518.2","222","240","178","517",".248",3.25911949685535
"TBR","159","27","31","3.85","534.2","229","248","199","495",".236",3.35974842767296
"TEX","157","22","25","4.80","504.0","269","300","223","453",".269",3.16981132075472
"TOR","157","28","26","4.26","585.2","277","299","207","619",".241",3.68050314465409
"WSN","156","25","17","4.32","462.0","222","234","156","432",".253",2.90566037735849
