"AwayTeam","HomeTeam","AwayP","HomeP","Time","Surface","AwayOdds","HomeOdds","Winner","Rundiff","HomeWin","ARk","ALg","AG","AW","AL","AW.L.","AStrk","AR","ARA","ARdiff","ASOS","ASRS","ApythWL","ALuck","AInter","AHome","ARoad","AExInn","A1Run","AvRHP","AvLHP","Aabv500","Abel500","Alast10","Alast20","Alast30","AGB","ADAY","ANIGHT","AGRASS","ATURF","AExWL","ALuckperG","AOneRunPct","ADAYpct","ADAYdiff","ANIGHTpct","ANIGHTdiff","AInterpct","AInterdiff","AHomepct","AHomediff","ARoadpct","ARoaddiff","AExInnpct","AExInndiff","A1Runpct","A1Rundiff","AvRHPpct","AvRHPdiff","AvLHPpct","AvLHPdiff","Aabv500pct","Aabv500diff","Abel500pct","Abel500diff","Alast10pct","Alast10diff","Alast20pct","Alast20diff","Alast30pct","Alast30diff","AGRASSpct","AGRASSdiff","ATURFpct","ATURFdiff","HRk","HLg","HG","HW","HL","HW.L.","HStrk","HR","HRA","HRdiff","HSOS","HSRS","HpythWL","HLuck","HInter","HHome","HRoad","HExInn","H1Run","HvRHP","HvLHP","Habv500","Hbel500","Hlast10","Hlast20","Hlast30","HGB","HDAY","HNIGHT","HGRASS","HTURF","HExWL","HLuckperG","HOneRunPct","HDAYpct","HDAYdiff","HNIGHTpct","HNIGHTdiff","HInterpct","HInterdiff","HHomepct","HHomediff","HRoadpct","HRoaddiff","HExInnpct","HExInndiff","H1Runpct","H1Rundiff","HvRHPpct","HvRHPdiff","HvLHPpct","HvLHPdiff","Habv500pct","Habv500diff","Hbel500pct","Hbel500diff","Hlast10pct","Hlast10diff","Hlast20pct","Hlast20diff","Hlast30pct","Hlast30diff","HGRASSpct","HGRASSdiff","HTURFpct","HTURFdiff","AB.GP","AB.W","AB.L","AB.ERA","AB.IP","AB.ER","AB.R","AB.BB","AB.SO","AB.BAA","AB.IperG","HB.GP","HB.W","HB.L","HB.ERA","HB.IP","HB.ER","HB.R","HB.BB","HB.SO","HB.BAA","HB.IperG","AP.Age","AP.W","AP.L","AP.W.L.","AP.ERA","AP.G","AP.GS","AP.GF","AP.CG","AP.SHO","AP.SV","AP.IP","AP.H","AP.R","AP.ER","AP.HR","AP.BB","AP.IBB","AP.SO","AP.HBP","AP.BK","AP.WP","AP.BF","AP.ERA.","AP.FIP","AP.WHIP","AP.H9","AP.HR9","AP.BB9","AP.SO9","AP.SO.W","AP.lefty","AP.IPG","AP.WtERA","HP.Age","HP.W","HP.L","HP.W.L.","HP.ERA","HP.G","HP.GS","HP.GF","HP.CG","HP.SHO","HP.SV","HP.IP","HP.H","HP.R","HP.ER","HP.HR","HP.BB","HP.IBB","HP.SO","HP.HBP","HP.BK","HP.WP","HP.BF","HP.ERA.","HP.FIP","HP.WHIP","HP.H9","HP.HR9","HP.BB9","HP.SO9","HP.SO.W","HP.lefty","HP.IPG","HP.WtERA"
"PIT","WSN","Steven Brault","Gio Gonzalez","Day","Grass",155,-170,"PIT",-3,FALSE,21,"NL",161,74,87,0.46,1,4.1,4.5,-0.4,-0.1,-0.5,"73-88",1,"10-10","44-37","30-50","8-9","20-24","58-63","16-24","39-50","35-37","6-4","7-13","11-19",29,"28-22","46-65","73-85","1-2","73-88",0.006,0.273,0.56,0.1,0.414,-0.046,0.5,0.04,0.543,0.083,0.375,-0.085,0.471,0.011,0.455,-0.005,0.479,0.019,0.4,-0.06,0.438,-0.022,0.486,0.026,0.6,0.14,0.35,-0.11,0.367,-0.093,0.462,0.002,0.333,-0.127,4,"NL",161,97,64,0.603,-1,5,4.1,0.9,-0.4,0.6,"95-66",2,"10-10","47-33","50-31","7-4","30-21","75-50","22-14","23-19","74-45","5-5","10-10","17-13",6,"27-29","70-35","97-64","0-0","97-64",0.012,0.317,0.482,-0.121,0.667,0.0640000000000001,0.5,-0.103,0.588,-0.015,0.617,0.014,0.636,0.033,0.588,-0.015,0.6,-0.003,0.611,0.00800000000000001,0.548,-0.0549999999999999,0.622,0.019,0.5,-0.103,0.5,-0.103,0.567,-0.036,0.602,-0.001,NA,NA,159,26,28,3.86,539,231,251,211,488,0.248,3.34782608695652,158,25,18,4.36,469,227,239,161,437,0.253,2.91304347826087,25,1,0,1,3.86,10,3,2,0,0,1,32.2,35,17,14,2,10,1,19,2,0,0,146,113,3.89,1.378,9.6,0.6,2.8,5.2,1.9,TRUE,3.22,3.86,31,15,8,0.652,2.75,31,31,0,0,0,0,196.2,151,63,60,21,76,5,186,6,0,7,804,161,3.9,1.154,6.9,1,3.5,8.5,2.45,TRUE,6.32903225806452,3.23382098765432
"HOU","BOS","Collin McHugh","Hector Velazquez","Day","Grass",-155,145,"HOU",-1,FALSE,3,"AL",161,100,61,0.621,-1,5.5,4.3,1.2,0,1.2,"98-63",2,"15-5","48-33","52-28","4-4","18-13","79-37","21-24","17-15","83-46","7-3","14-6","21-9",3,"32-16","68-45","95-56","5-5","100-61",0.012,0.193,0.667,0.046,0.602,-0.019,0.75,0.129,0.593,-0.028,0.65,0.029,0.5,-0.121,0.581,-0.04,0.681,0.0600000000000001,0.467,-0.154,0.531,-0.09,0.643,0.022,0.7,0.079,0.7,0.079,0.7,0.079,0.629,0.00800000000000001,0.5,-0.121,5,"AL",161,93,68,0.578,1,4.9,4.1,0.7,0.1,0.9,"92-69",1,"16-4","48-32","45-36","15-3","22-18","75-49","18-19","27-22","66-46","6-4","13-7","19-11",10,"25-22","68-46","80-63","13-5","94-67",0.006,0.248,0.532,-0.0459999999999999,0.596,0.018,0.8,0.222,0.6,0.022,0.556,-0.0219999999999999,0.833,0.255,0.55,-0.0279999999999999,0.605,0.027,0.486,-0.092,0.551,-0.0269999999999999,0.589,0.011,0.6,0.022,0.65,0.0720000000000001,0.633,0.055,0.559,-0.0189999999999999,0.722,0.144,160,30,22,4.29,543.1,259,272,213,658,0.234,3.37329192546584,156,29,14,3.11,526,182,194,177,572,0.225,3.26708074534162,30,4,2,0.667,3.45,11,11,0,0,0,0,57.1,57,24,22,7,19,0,54,4,0,4,247,115,4.06,1.326,8.9,1.1,3,8.5,2.84,FALSE,5.19090909090909,3.79280434782609,28,3,1,0.75,3.48,7,2,4,0,0,0,20.2,18,8,8,4,5,0,15,0,0,0,80,133,4.94,1.113,7.8,1.7,2.2,6.5,3,FALSE,2.88571428571429,3.31224332051661
"OAK","TEX","Daniel Mengden","Cole Hamels","Day","Grass",135,-145,"OAK",-3,FALSE,22,"AL",161,74,87,0.46,-2,4.6,5.1,-0.6,0.2,-0.4,"72-89",2,"7-13","46-35","28-52","4-9","21-21","56-61","18-26","24-25","50-62","6-4","13-7","16-14",29,"34-28","40-59","73-80","1-7","71-90",0.012,0.261,0.548,0.088,0.404,-0.056,0.35,-0.11,0.568,0.108,0.35,-0.11,0.308,-0.152,0.5,0.04,0.479,0.019,0.409,-0.051,0.49,0.03,0.446,-0.014,0.6,0.14,0.65,0.19,0.533,0.073,0.477,0.017,0.125,-0.335,16,"AL",161,78,83,0.484,2,5,5,-0.1,0.1,0,"79-82",-1,"14-6","41-39","37-44","5-5","13-24","56-65","22-18","18-30","60-53","3-7","7-13","13-17",25,"21-22","57-61","72-80","6-3","79-82",-0.006,0.23,0.488,0.004,0.483,-0.001,0.7,0.216,0.512,0.028,0.457,-0.027,0.5,0.016,0.351,-0.133,0.463,-0.021,0.55,0.0660000000000001,0.375,-0.109,0.531,0.047,0.3,-0.184,0.35,-0.134,0.433,-0.051,0.474,-0.01,0.667,0.183,160,23,26,4.55,551.1,279,302,204,525,0.249,3.42298136645963,159,22,25,4.78,510,271,302,225,464,0.268,3.16770186335404,24,2,2,0.5,3.75,6,6,0,1,1,0,36,32,16,15,6,8,0,21,0,0,2,144,114,4.82,1.111,8,1.5,2,5.3,2.63,FALSE,6,4.03375682288726,33,11,5,0.688,4.1,23,23,0,1,0,0,145,120,71,66,18,52,1,100,11,0,5,599,115,4.69,1.186,7.4,1.1,3.2,6.2,1.92,TRUE,6.30434782608696,4.31004042196589
"SDP","SFG","Luis Perdomo","Johnny Cueto","Day","Grass",125,-135,"SFG",1,TRUE,24,"NL",161,71,90,0.441,1,3.7,5,-1.3,0,-1.3,"59-102",12,"8-12","43-38","28-52","4-7","19-18","52-63","19-27","35-56","36-34","3-7","8-12","14-16",32,"19-30","52-60","71-90","0-0","57-104",0.075,0.23,0.388,-0.053,0.464,0.023,0.4,-0.041,0.531,0.09,0.35,-0.091,0.364,-0.077,0.514,0.073,0.452,0.011,0.413,-0.028,0.385,-0.056,0.514,0.073,0.3,-0.141,0.4,-0.041,0.467,0.026,0.441,0,NA,NA,30,"NL",161,63,98,0.391,-1,3.9,4.8,-0.9,0,-0.9,"66-95",-3,"8-12","37-43","26-55","12-7","22-24","45-68","18-30","36-54","27-44","5-5","9-11","11-19",40,"21-35","42-63","63-98","0-0","65-96",-0.019,0.286,0.375,-0.016,0.4,0.00900000000000001,0.4,0.00900000000000001,0.462,0.071,0.321,-0.07,0.632,0.241,0.478,0.087,0.398,0.00700000000000001,0.375,-0.016,0.4,0.00900000000000001,0.38,-0.011,0.5,0.109,0.45,0.059,0.367,-0.024,0.391,0,NA,NA,159,26,28,4.48,550,274,296,203,580,0.239,3.41614906832298,158,21,25,4.38,489.1,238,256,218,455,0.259,3.03788819875776,24,8,11,0.421,4.65,28,28,0,0,0,0,156.2,175,93,81,17,64,3,114,8,2,10,688,89,4.49,1.526,10.1,1,3.7,6.5,1.78,FALSE,5.57857142857143,4.58538812556204,31,8,8,0.5,4.43,24,24,0,0,0,0,142.1,148,73,70,21,53,2,134,8,1,4,622,95,4.47,1.412,9.4,1.3,3.4,8.5,2.53,FALSE,5.92083333333333,4.41293305728088
"NYM","PHI","Noah Syndergaard","Nick Pivetta","Day","Grass",110,-120,"PHI",11,TRUE,25,"NL",161,70,91,0.435,1,4.6,5.3,-0.7,-0.1,-0.9,"70-91",0,"7-13","37-44","33-47","3-8","21-24","55-68","15-23","17-49","53-42","5-5","8-12","13-17",33,"15-32","55-59","70-91","0-0","69-92",0,0.28,0.319,-0.116,0.482,0.047,0.35,-0.085,0.457,0.022,0.412,-0.023,0.273,-0.162,0.467,0.032,0.447,0.012,0.395,-0.04,0.258,-0.177,0.558,0.123,0.5,0.065,0.4,-0.035,0.433,-0.002,0.435,0,NA,NA,28,"NL",161,65,96,0.404,-1,4.2,4.9,-0.6,-0.1,-0.8,"70-91",-5,"5-15","38-42","27-54","7-10","21-36","41-75","24-21","23-43","42-53","5-5","12-8","16-14",38,"25-31","40-65","65-96","0-0","69-92",-0.031,0.354,0.446,0.042,0.381,-0.023,0.25,-0.154,0.475,0.071,0.333,-0.071,0.412,0.00799999999999995,0.368,-0.036,0.353,-0.051,0.533,0.129,0.348,-0.056,0.442,0.038,0.5,0.096,0.6,0.196,0.533,0.129,0.404,0,NA,NA,159,21,27,4.72,563,295,313,263,583,0.26,3.49689440993789,160,23,34,4.21,546.2,256,273,221,545,0.254,3.39254658385093,24,1,2,0.333,3.18,6,6,0,0,0,0,28.1,29,14,10,0,2,1,32,1,0,3,117,134,1.21,1.094,9.2,0,0.6,10.2,16,FALSE,4.68333333333333,3.85486956521739,24,7,10,0.412,6.26,25,25,0,0,0,0,128,142,91,89,25,52,0,133,3,2,10,561,67,4.9,1.516,10,1.8,3.7,9.4,2.56,FALSE,5.12,5.39472739820566
"TOR","NYY","Brett Anderson","Jordan Montgomery","Day","Grass",145,-155,"TOR",-1,FALSE,19,"AL",161,75,86,0.466,-3,4.3,4.9,-0.6,0.3,-0.3,"71-90",4,"9-11","42-39","33-47","5-14","25-27","58-62","17-24","26-41","49-45","4-6","11-9","14-16",28,"30-29","45-57","29-41","46-45","70-91",0.025,0.323,0.508,0.042,0.441,-0.025,0.45,-0.016,0.519,0.053,0.412,-0.054,0.263,-0.203,0.481,0.015,0.483,0.017,0.415,-0.051,0.388,-0.078,0.521,0.055,0.4,-0.066,0.55,0.084,0.467,0.001,0.414,-0.052,0.505,0.039,8,"AL",161,91,70,0.565,2,5.3,4.1,1.2,0.1,1.3,"100-61",-9,"15-5","51-29","40-41","5-6","18-25","67-48","24-22","26-22","65-48","7-3","15-5","21-9",12,"34-26","57-44","85-60","6-10","101-60",-0.056,0.267,0.567,0.002,0.564,-0.001,0.75,0.185,0.638,0.0730000000000001,0.494,-0.071,0.455,-0.11,0.419,-0.146,0.583,0.018,0.522,-0.0429999999999999,0.542,-0.0229999999999999,0.575,0.01,0.7,0.135,0.75,0.185,0.7,0.135,0.586,0.021,0.375,-0.19,159,28,26,4.22,592.2,278,300,211,631,0.24,3.67826086956522,159,29,23,3.35,534.2,199,213,224,648,0.205,3.31801242236025,29,4,4,0.5,6.97,12,12,0,0,0,0,50.1,70,41,39,5,21,0,35,0,0,2,234,65,4.31,1.808,12.5,0.9,3.8,6.3,1.67,TRUE,4.175,5.59875106564365,24,9,7,0.563,3.96,28,28,0,0,0,0,150,138,71,66,21,50,0,141,1,1,7,631,115,4.11,1.253,8.3,1.3,3,8.5,2.82,TRUE,5.35714285714286,3.71643118556162
"SEA","LAA","James Paxton","Parker Bridwell","Day","Grass",-130,120,"LAA",4,TRUE,17,"AL",161,78,83,0.484,1,4.6,4.8,-0.1,0.1,0,"79-82",-1,"12-8","40-41","38-42","7-5","26-15","56-60","22-23","20-32","58-51","4-6","8-12","12-18",25,"23-30","55-53","76-78","2-5","79-82",-0.006,0.255,0.434,-0.05,0.509,0.025,0.6,0.116,0.494,0.01,0.475,-0.00900000000000001,0.583,0.099,0.634,0.15,0.483,-0.001,0.489,0.005,0.385,-0.099,0.532,0.048,0.4,-0.084,0.4,-0.084,0.4,-0.084,0.494,0.01,0.286,-0.198,14,"AL",161,79,82,0.491,-1,4.4,4.4,0,0.2,0.1,"80-81",-1,"11-9","42-38","37-44","8-7","27-22","56-58","23-24","21-31","58-51","3-7","7-13","13-17",24,"18-24","61-58","75-79","4-3","80-81",-0.006,0.304,0.429,-0.062,0.513,0.022,0.55,0.0590000000000001,0.525,0.034,0.457,-0.034,0.533,0.042,0.551,0.0600000000000001,0.491,0,0.489,-0.002,0.404,-0.087,0.532,0.041,0.3,-0.191,0.35,-0.141,0.433,-0.058,0.487,-0.004,0.571,0.08,160,31,30,4,567.2,252,281,208,546,0.243,3.52298136645963,160,36,24,3.9,567,246,259,168,599,0.24,3.52173913043478,28,12,5,0.706,3.12,23,23,0,0,0,0,130,110,47,45,9,37,1,147,3,1,15,531,137,2.72,1.131,7.6,0.6,2.6,10.2,3.97,TRUE,5.65217391304348,3.45040126195406,25,9,3,0.75,3.87,20,19,0,0,0,0,114,112,52,49,19,29,0,70,3,0,4,467,109,4.93,1.237,8.8,1.5,2.3,5.5,2.41,FALSE,5.7,3.88115398550725
"ATL","MIA","Max Fried","Jose Urena","Day","Grass",143,-153,"ATL",-3,FALSE,23,"NL",161,71,90,0.441,-6,4.5,5.1,-0.6,-0.2,-0.8,"72-89",-1,"9-11","37-44","34-46","6-8","19-24","56-75","15-15","25-37","46-53","3-7","8-12","12-18",32,"21-28","50-62","69-90","2-0","71-90",-0.006,0.267,0.429,-0.012,0.446,0.005,0.45,0.00900000000000001,0.457,0.016,0.425,-0.016,0.429,-0.012,0.442,0.001,0.427,-0.014,0.5,0.059,0.403,-0.038,0.465,0.024,0.3,-0.141,0.4,-0.041,0.4,-0.041,0.434,-0.00700000000000001,1,0.559,18,"NL",161,77,84,0.478,3,4.8,5.1,-0.3,-0.2,-0.5,"77-84",0,"9-11","43-37","34-47","6-5","18-22","64-64","13-20","22-40","55-44","6-4","9-11","11-19",26,"24-24","53-60","76-83","1-1","76-85",0,0.248,0.5,0.022,0.469,-0.00900000000000001,0.45,-0.028,0.538,0.0600000000000001,0.42,-0.058,0.545,0.0670000000000001,0.45,-0.028,0.5,0.022,0.394,-0.084,0.355,-0.123,0.556,0.0780000000000001,0.6,0.122,0.45,-0.028,0.367,-0.111,0.478,0,0.5,0.022,161,25,18,4.6,522.1,267,288,223,494,0.247,3.24285714285714,160,30,29,4.35,608,294,315,270,557,0.258,3.77639751552795,23,1,1,0.5,3.74,8,3,4,0,0,0,21.2,24,11,9,3,11,1,15,3,0,0,100,116,5.51,1.615,10,1.2,4.6,6.2,1.36,TRUE,2.65,4.1612123015873,25,14,7,0.667,3.77,33,27,2,0,0,0,164.2,147,74,69,25,60,3,111,14,1,4,700,107,5.13,1.257,8,1.4,3.3,6.1,1.85,FALSE,4.97575757575758,4.02684440680093
"LAD","COL","Ross Stripling","Kyle Freeland","Day","Grass",-140,130,"LAD",-3,FALSE,1,"NL",161,103,58,0.64,1,4.7,3.6,1.2,-0.3,0.9,"101-60",2,"16-4","57-24","46-34","8-4","25-19","71-43","32-15","35-33","68-25","7-3","11-9","12-18",0,"30-14","73-44","103-58","0-0","103-58",0.012,0.273,0.682,0.042,0.624,-0.016,0.8,0.16,0.704,0.0639999999999999,0.575,-0.0650000000000001,0.667,0.027,0.568,-0.0720000000000001,0.623,-0.017,0.681,0.041,0.515,-0.125,0.731,0.091,0.7,0.0599999999999999,0.55,-0.09,0.4,-0.24,0.64,0,NA,NA,9,"NL",161,87,74,0.54,-1,5.1,4.7,0.4,-0.2,0.3,"87-74",0,"10-10","46-34","41-40","2-3","21-14","59-54","28-20","37-34","50-40","5-5","11-9","16-14",16,"35-23","52-51","87-74","0-0","88-73",0,0.217,0.603,0.0629999999999999,0.505,-0.035,0.5,-0.04,0.575,0.0349999999999999,0.506,-0.034,0.4,-0.14,0.6,0.0599999999999999,0.522,-0.018,0.583,0.0429999999999999,0.521,-0.019,0.556,0.016,0.5,-0.04,0.55,0.01,0.533,-0.00700000000000001,0.54,0,NA,NA,159,31,19,3.37,552.2,207,217,180,630,0.22,3.42981366459627,160,24,19,4.38,544.2,265,281,205,545,0.252,3.38012422360248,27,3,5,0.375,3.86,48,1,12,0,0,2,72.1,68,31,31,10,18,4,74,0,0,2,296,109,3.65,1.189,8.5,1.2,2.2,9.2,4.11,FALSE,1.50208333333333,3.63635143250134,24,11,10,0.524,4.06,32,27,0,0,0,0,153,164,76,69,17,62,4,107,8,2,1,673,124,4.57,1.477,9.6,1,3.6,6.3,1.73,TRUE,4.78125,4.2053409679089
"CHW","CLE","Chris Volstad","Josh Tomlin","Day","Grass",170,-190,"CLE",2,TRUE,26,"AL",161,67,94,0.416,1,4.4,5.1,-0.7,0.2,-0.5,"70-91",-3,"6-14","39-42","28-52","5-5","21-23","47-68","20-26","23-48","44-46","7-3","12-8","15-15",36,"26-28","41-66","64-91","3-3","69-92",-0.019,0.273,0.481,0.065,0.383,-0.033,0.3,-0.116,0.481,0.065,0.35,-0.066,0.5,0.084,0.477,0.061,0.409,-0.00700000000000001,0.435,0.019,0.324,-0.092,0.489,0.073,0.7,0.284,0.6,0.184,0.5,0.084,0.413,-0.003,0.5,0.084,2,"AL",161,101,60,0.627,-1,5.1,3.5,1.6,-0.1,1.5,"107-54",-6,"6-14","48-32","53-28","4-2","20-15","65-36","36-24","27-22","74-38","7-3","16-4","26-4",2,"38-18","63-42","97-57","4-3","109-52",-0.037,0.217,0.679,0.052,0.6,-0.027,0.3,-0.327,0.6,-0.027,0.654,0.027,0.667,0.04,0.571,-0.056,0.644,0.017,0.6,-0.027,0.551,-0.076,0.661,0.034,0.7,0.073,0.8,0.173,0.867,0.24,0.63,0.003,0.571,-0.056,161,29,20,4.3,546.1,261,275,239,511,0.242,3.39192546583851,154,21,22,2.91,485.2,157,175,148,540,0.226,3.01366459627329,30,1,1,0.5,4.73,5,1,2,0,0,0,13.1,13,8,7,4,1,0,8,1,0,0,51,93,6.3,1.05,8.8,2.7,0.7,5.4,8,FALSE,2.62,4.54414741200828,32,9,9,0.5,5.11,25,25,0,1,0,0,135.2,162,79,77,22,14,0,103,4,0,1,565,90,4.14,1.297,10.7,1.5,0.9,6.8,7.36,FALSE,5.408,4.25551736829998
