"AwayTeam","HomeTeam","AwayP","HomeP","Time","Surface","AwayOdds","HomeOdds","Winner","Rundiff","HomeWin","ARk","ALg","AG","AW","AL","AW.L.","AStrk","AR","ARA","ARdiff","ASOS","ASRS","ApythWL","ALuck","AInter","AHome","ARoad","AExInn","A1Run","AvRHP","AvLHP","Aabv500","Abel500","Alast10","Alast20","Alast30","AGB","ADAY","ANIGHT","AGRASS","ATURF","AExWL","ALuckperG","AOneRunPct","ADAYpct","ADAYdiff","ANIGHTpct","ANIGHTdiff","AInterpct","AInterdiff","AHomepct","AHomediff","ARoadpct","ARoaddiff","AExInnpct","AExInndiff","A1Runpct","A1Rundiff","AvRHPpct","AvRHPdiff","AvLHPpct","AvLHPdiff","Aabv500pct","Aabv500diff","Abel500pct","Abel500diff","Alast10pct","Alast10diff","Alast20pct","Alast20diff","Alast30pct","Alast30diff","AGRASSpct","AGRASSdiff","ATURFpct","ATURFdiff","HRk","HLg","HG","HW","HL","HW.L.","HStrk","HR","HRA","HRdiff","HSOS","HSRS","HpythWL","HLuck","HInter","HHome","HRoad","HExInn","H1Run","HvRHP","HvLHP","Habv500","Hbel500","Hlast10","Hlast20","Hlast30","HGB","HDAY","HNIGHT","HGRASS","HTURF","HExWL","HLuckperG","HOneRunPct","HDAYpct","HDAYdiff","HNIGHTpct","HNIGHTdiff","HInterpct","HInterdiff","HHomepct","HHomediff","HRoadpct","HRoaddiff","HExInnpct","HExInndiff","H1Runpct","H1Rundiff","HvRHPpct","HvRHPdiff","HvLHPpct","HvLHPdiff","Habv500pct","Habv500diff","Hbel500pct","Hbel500diff","Hlast10pct","Hlast10diff","Hlast20pct","Hlast20diff","Hlast30pct","Hlast30diff","HGRASSpct","HGRASSdiff","HTURFpct","HTURFdiff","AB.GP","AB.W","AB.L","AB.ERA","AB.IP","AB.ER","AB.R","AB.BB","AB.SO","AB.BAA","AB.IperG","HB.GP","HB.W","HB.L","HB.ERA","HB.IP","HB.ER","HB.R","HB.BB","HB.SO","HB.BAA","HB.IperG","AP.Age","AP.W","AP.L","AP.W.L.","AP.ERA","AP.G","AP.GS","AP.GF","AP.CG","AP.SHO","AP.SV","AP.IP","AP.H","AP.R","AP.ER","AP.HR","AP.BB","AP.IBB","AP.SO","AP.HBP","AP.BK","AP.WP","AP.BF","AP.ERA.","AP.FIP","AP.WHIP","AP.H9","AP.HR9","AP.BB9","AP.SO9","AP.SO.W","AP.lefty","AP.IPG","AP.WtERA","HP.Age","HP.W","HP.L","HP.W.L.","HP.ERA","HP.G","HP.GS","HP.GF","HP.CG","HP.SHO","HP.SV","HP.IP","HP.H","HP.R","HP.ER","HP.HR","HP.BB","HP.IBB","HP.SO","HP.HBP","HP.BK","HP.WP","HP.BF","HP.ERA.","HP.FIP","HP.WHIP","HP.H9","HP.HR9","HP.BB9","HP.SO9","HP.SO.W","HP.lefty","HP.IPG","HP.WtERA"
"TOR","NYY","Joe Biagini","Masahiro Tanaka","Day","Grass",200,-240,"NYY",4,TRUE,19,"AL",159,75,84,0.472,-1,4.3,4.9,-0.5,0.2,-0.3,"71-88",4,"9-11","42-39","33-45","5-14","25-26","58-61","17-23","26-39","49-45","5-5","11-9","14-16",27,"30-27","45-57","29-39","46-45","70-89",0.025,0.321,0.526,0.054,0.441,-0.031,0.45,-0.022,0.519,0.047,0.423,-0.049,0.263,-0.209,0.49,0.018,0.487,0.015,0.425,-0.047,0.4,-0.072,0.521,0.049,0.5,0.028,0.55,0.0780000000000001,0.467,-0.00499999999999995,0.426,-0.046,0.505,0.033,8,"AL",159,89,70,0.56,-1,5.4,4.1,1.2,0.1,1.3,"98-61",-9,"15-5","49-29","40-41","5-6","17-25","65-48","24-22","26-22","63-48","7-3","14-6","19-11",13,"32-27","57-43","83-60","6-10","100-59",-0.057,0.264,0.542,-0.018,0.57,0.0099999999999999,0.75,0.19,0.628,0.0679999999999999,0.494,-0.0660000000000001,0.455,-0.105,0.405,-0.155,0.575,0.0149999999999999,0.522,-0.038,0.542,-0.018,0.568,0.0079999999999999,0.7,0.14,0.7,0.14,0.633,0.073,0.58,0.0199999999999999,0.375,-0.185,157,28,26,4.26,585.2,277,299,207,619,0.241,3.68050314465409,157,29,23,3.37,529.1,198,212,220,641,0.206,3.32767295597484,27,3,12,0.2,5.34,43,17,3,0,0,1,114.2,119,75,68,15,41,0,94,2,0,6,496,87,4.34,1.395,9.3,1.2,3.2,7.4,2.29,FALSE,2.65581395348837,4.65134357174199,28,12,12,0.5,4.94,29,29,0,1,1,0,171.1,177,100,94,35,41,1,179,7,0,7,729,93,4.56,1.272,9.3,1.8,2.2,9.4,4.37,FALSE,5.9,4.39338159246927
"CIN","CHC","Robert Stephenson","Jose Quintana","Day","Grass",160,-175,"CHC",1,TRUE,26,"NL",159,67,92,0.421,-1,4.7,5.4,-0.7,0,-0.7,"70-89",-3,"5-15","39-42","28-50","3-7","13-21","59-65","8-27","33-58","34-34","2-8","7-13","12-18",35,"24-34","43-58","66-87","1-5","69-90",-0.019,0.214,0.414,-0.00700000000000001,0.426,0.005,0.25,-0.171,0.481,0.06,0.359,-0.062,0.3,-0.121,0.382,-0.039,0.476,0.055,0.229,-0.192,0.363,-0.058,0.5,0.079,0.2,-0.221,0.35,-0.071,0.4,-0.021,0.431,0.01,0.167,-0.254,7,"NL",159,90,69,0.566,2,5.1,4.3,0.7,-0.2,0.6,"91-68",-1,"12-8","46-32","44-37","7-3","25-17","69-55","21-14","35-35","55-34","7-3","14-6","21-9",12,"36-35","54-34","89-68","1-1","92-67",-0.006,0.264,0.507,-0.0589999999999999,0.614,0.048,0.6,0.034,0.59,0.024,0.543,-0.0229999999999999,0.7,0.134,0.595,0.029,0.556,-0.0099999999999999,0.6,0.034,0.5,-0.0659999999999999,0.618,0.052,0.7,0.134,0.7,0.134,0.7,0.134,0.567,0.001,0.5,-0.0659999999999999,157,24,20,4.6,599,306,323,274,579,0.247,3.76729559748428,157,27,22,3.85,544.2,233,249,259,602,0.223,3.42264150943396,24,5,6,0.455,4.86,24,10,6,0,0,1,79.2,77,50,43,12,51,3,86,2,2,5,362,91,4.95,1.607,8.7,1.4,5.8,9.7,1.69,FALSE,3.3,4.71394456091311,28,11,11,0.5,4.06,31,31,0,1,1,0,184,164,88,83,23,61,4,202,10,1,8,771,107,3.74,1.223,8,1.1,3,9.9,3.31,TRUE,5.93548387096774,3.98733403214535
"PIT","WSN","Gerrit Cole","Stephen Strasburg","Night","Grass",165,-185,"WSN",5,TRUE,22,"NL",159,73,86,0.459,-1,4.1,4.5,-0.4,-0.1,-0.5,"73-86",0,"10-10","44-37","29-49","8-9","20-24","57-62","16-24","38-49","35-37","5-5","6-14","12-18",29,"27-23","46-63","72-84","1-2","72-87",0,0.277,0.54,0.081,0.422,-0.037,0.5,0.041,0.543,0.084,0.372,-0.087,0.471,0.012,0.455,-0.004,0.479,0.02,0.4,-0.059,0.437,-0.022,0.486,0.027,0.5,0.041,0.3,-0.159,0.4,-0.059,0.462,0.003,0.333,-0.126,4,"NL",159,96,63,0.604,1,5.1,4.1,0.9,-0.3,0.6,"94-65",2,"10-10","46-32","50-31","7-4","30-21","74-49","22-14","23-19","73-44","6-4","11-9","18-12",6,"28-28","68-35","96-63","0-0","95-64",0.013,0.321,0.5,-0.104,0.66,0.056,0.5,-0.104,0.59,-0.014,0.617,0.013,0.636,0.032,0.588,-0.016,0.602,-0.002,0.611,0.00700000000000001,0.548,-0.0559999999999999,0.624,0.02,0.6,-0.004,0.55,-0.0539999999999999,0.6,-0.004,0.604,0,NA,NA,157,25,28,3.84,534.1,228,248,210,484,0.248,3.35911949685535,156,25,17,4.32,462,222,234,156,432,0.253,2.90566037735849,26,12,11,0.522,4.23,32,32,0,0,0,0,197.2,191,95,93,31,54,1,189,4,0,7,827,102,4.16,1.239,8.7,1.4,2.5,8.6,3.5,FALSE,6.1625,4.10398713808148,28,14,4,0.778,2.63,27,27,0,1,1,0,167.2,129,55,49,13,45,5,196,6,0,3,674,169,2.74,1.038,6.9,0.7,2.4,10.5,4.36,FALSE,6.19259259259259,3.16005149371069
"NYM","PHI","Matt Harvey","Ben Lively","Night","Grass",125,-135,"PHI",4,TRUE,25,"NL",159,69,90,0.434,3,4.6,5.3,-0.7,-0.1,-0.9,"69-90",0,"7-13","37-44","32-46","2-8","21-24","54-67","15-23","17-49","52-41","4-6","9-11","12-18",33,"14-32","55-58","69-90","0-0","68-91",0,0.283,0.304,-0.13,0.487,0.053,0.35,-0.084,0.457,0.023,0.41,-0.024,0.2,-0.234,0.467,0.033,0.446,0.012,0.395,-0.039,0.258,-0.176,0.559,0.125,0.4,-0.034,0.45,0.016,0.4,-0.034,0.434,0,NA,NA,28,"NL",159,64,95,0.403,2,4.2,4.9,-0.7,-0.1,-0.8,"69-90",-5,"5-15","37-41","27-54","7-9","21-36","40-74","24-21","23-43","41-52","6-4","11-9","16-14",38,"25-30","39-65","64-95","0-0","68-91",-0.031,0.358,0.455,0.052,0.375,-0.028,0.25,-0.153,0.474,0.071,0.333,-0.07,0.438,0.035,0.368,-0.035,0.351,-0.052,0.533,0.13,0.348,-0.055,0.441,0.038,0.6,0.197,0.55,0.147,0.533,0.13,0.403,0,NA,NA,157,20,27,4.74,552,291,309,260,573,0.262,3.47169811320755,158,23,33,4.22,537.1,252,269,216,535,0.254,3.37798742138365,28,5,6,0.455,6.6,18,17,0,0,0,0,88.2,103,66,65,20,44,3,64,6,0,6,410,64,6.33,1.658,10.5,2,4.5,6.5,1.45,FALSE,4.9,5.7821778158948,25,3,7,0.3,4.35,14,14,0,1,0,0,82.2,84,43,40,11,24,1,51,8,1,1,349,97,4.81,1.306,9.1,1.2,2.6,5.6,2.13,FALSE,5.87142857142857,4.30386145132223
"HOU","BOS","Charlie Morton","Doug Fister","Night","Grass",-112,102,"HOU",-1,FALSE,3,"AL",159,99,60,0.623,4,5.6,4.3,1.2,0,1.2,"97-62",2,"15-5","48-33","51-27","4-4","17-13","78-37","21-23","16-14","83-46","8-2","13-7","21-9",3,"33-15","66-45","94-55","5-5","99-60",0.013,0.189,0.688,0.0649999999999999,0.595,-0.028,0.75,0.127,0.593,-0.03,0.654,0.031,0.5,-0.123,0.567,-0.056,0.678,0.055,0.477,-0.146,0.533,-0.09,0.643,0.02,0.8,0.177,0.65,0.027,0.7,0.077,0.631,0.00800000000000001,0.5,-0.123,5,"AL",159,92,67,0.579,-1,4.9,4.1,0.7,0.1,0.8,"91-68",1,"16-4","47-31","45-36","15-3","22-17","74-48","18-19","26-21","66-46","7-3","14-6","19-11",10,"24-23","68-44","79-62","13-5","92-67",0.006,0.245,0.511,-0.0679999999999999,0.607,0.028,0.8,0.221,0.603,0.024,0.556,-0.0229999999999999,0.833,0.254,0.564,-0.015,0.607,0.028,0.486,-0.093,0.553,-0.0259999999999999,0.589,0.01,0.7,0.121,0.7,0.121,0.633,0.054,0.56,-0.0189999999999999,0.722,0.143,158,30,22,4.33,536,258,271,208,647,0.235,3.37106918238994,154,29,14,3.12,519.1,180,192,173,564,0.225,3.26477987421384,33,13,7,0.65,3.63,24,24,0,0,0,0,141.1,121,63,57,14,50,1,159,13,0,4,597,109,3.53,1.21,7.7,0.9,3.2,10.1,3.18,FALSE,5.87916666666667,3.87608713462975,33,5,8,0.385,4.87,17,14,3,1,0,0,85,82,52,46,8,37,3,78,3,1,2,370,94,3.95,1.4,8.7,0.8,3.9,8.3,2.11,FALSE,5,4.1298431350914
"CHW","CLE","Mike Pelfrey","Trevor Bauer","Night","Grass",250,-300,"CLE",9,TRUE,27,"AL",159,66,93,0.415,2,4.4,5.1,-0.7,0.2,-0.5,"70-89",-4,"6-14","39-42","27-51","5-5","20-23","46-67","20-26","22-47","44-46","6-4","12-8","14-16",36,"26-28","40-65","63-90","3-3","69-90",-0.025,0.27,0.481,0.066,0.381,-0.034,0.3,-0.115,0.481,0.066,0.346,-0.069,0.5,0.085,0.465,0.05,0.407,-0.00800000000000001,0.435,0.02,0.319,-0.096,0.489,0.074,0.6,0.185,0.6,0.185,0.467,0.052,0.412,-0.003,0.5,0.085,2,"AL",159,100,59,0.629,2,5.1,3.5,1.5,-0.1,1.5,"105-54",-5,"6-14","47-31","53-28","4-2","20-14","64-35","36-24","27-22","73-37","8-2","17-3","27-3",2,"38-17","62-42","96-56","4-3","107-52",-0.031,0.214,0.691,0.0619999999999999,0.596,-0.033,0.3,-0.329,0.603,-0.026,0.654,0.025,0.667,0.038,0.588,-0.041,0.646,0.017,0.6,-0.029,0.551,-0.078,0.664,0.035,0.8,0.171,0.85,0.221,0.9,0.271,0.632,0.003,0.571,-0.0580000000000001,159,29,20,4.37,537,261,275,234,502,0.244,3.37735849056604,152,21,21,2.93,478.2,156,174,146,532,0.228,3.00754716981132,33,3,11,0.214,5.52,33,20,4,0,0,0,117.1,121,77,72,24,56,4,77,10,0,1,525,78,6.19,1.509,9.3,1.8,4.3,5.9,1.38,FALSE,3.54848484848485,4.87642373419732,26,16,9,0.64,4.28,31,30,1,0,0,0,170.1,177,83,81,24,60,0,189,5,1,3,727,108,3.91,1.391,9.4,1.3,3.2,10,3.15,FALSE,5.48709677419355,3.76389357447179
"BAL","TBR","Wade Miley","Jake Odorizzi","Night","Turf",132,-142,"TBR",7,TRUE,20,"AL",159,75,84,0.472,-2,4.7,5.2,-0.5,0.3,-0.3,"72-87",3,"8-12","46-35","29-49","12-4","21-19","49-61","26-23","25-46","50-38","3-7","4-16","11-19",27,"23-25","52-59","66-77","9-7","71-88",0.019,0.252,0.479,0.00700000000000001,0.468,-0.00399999999999995,0.4,-0.072,0.568,0.096,0.372,-0.1,0.75,0.278,0.525,0.053,0.445,-0.027,0.531,0.0590000000000001,0.352,-0.12,0.568,0.096,0.3,-0.172,0.2,-0.272,0.367,-0.105,0.462,-0.00999999999999995,0.562,0.0900000000000001,15,"AL",159,77,82,0.484,1,4.3,4.4,-0.2,0.2,0.1,"77-82",0,"11-9","39-39","38-43","8-6","20-24","59-53","18-29","31-37","46-45","5-5","8-12","14-16",25,"27-29","50-53","36-39","41-43","77-82",0,0.277,0.482,-0.002,0.485,0.001,0.55,0.0660000000000001,0.5,0.016,0.469,-0.015,0.571,0.087,0.455,-0.029,0.527,0.043,0.383,-0.101,0.456,-0.028,0.505,0.021,0.5,0.016,0.4,-0.084,0.467,-0.017,0.48,-0.004,0.488,0.004,158,30,18,3.86,585.1,251,275,217,499,0.253,3.67987421383648,159,27,31,3.85,534.2,229,248,199,495,0.236,3.35974842767296,30,8,14,0.364,5.52,31,31,0,0,0,0,153.1,174,100,94,24,88,1,136,4,0,1,706,78,5.21,1.709,10.2,1.4,5.2,8,1.55,TRUE,4.93870967741935,4.78068840748505,27,10,8,0.556,4.26,27,27,0,0,0,0,139.1,115,80,66,30,60,1,123,2,0,1,591,98,5.52,1.256,7.4,1.9,3.9,7.9,2.05,FALSE,5.15185185185185,4.08817192959469
"ATL","MIA","Luiz Gohara","Dan Straily","Night","Grass",150,-160,"MIA",1,TRUE,23,"NL",159,71,88,0.447,-4,4.5,5,-0.5,-0.2,-0.7,"72-87",-1,"9-11","37-44","34-44","6-8","19-23","56-73","15-15","25-37","46-51","4-6","9-11","14-16",31,"21-28","50-60","69-88","2-0","71-88",-0.006,0.264,0.429,-0.018,0.455,0.00800000000000001,0.45,0.003,0.457,0.01,0.436,-0.011,0.429,-0.018,0.452,0.005,0.434,-0.013,0.5,0.053,0.403,-0.044,0.474,0.027,0.4,-0.047,0.45,0.003,0.467,0.02,0.439,-0.00800000000000001,1,0.553,18,"NL",159,75,84,0.472,1,4.8,5.1,-0.3,-0.2,-0.5,"75-84",0,"9-11","41-37","34-47","6-5","17-22","63-64","12-20","22-40","53-44","6-4","8-12","9-21",27,"24-24","51-60","74-83","1-1","74-85",0,0.245,0.5,0.028,0.459,-0.013,0.45,-0.022,0.526,0.054,0.42,-0.052,0.545,0.0730000000000001,0.436,-0.036,0.496,0.024,0.375,-0.097,0.355,-0.117,0.546,0.0740000000000001,0.6,0.128,0.4,-0.072,0.3,-0.172,0.471,-0.001,0.5,0.028,159,25,17,4.58,514.1,262,282,221,488,0.244,3.23333333333333,158,29,29,4.41,600,294,315,268,551,0.259,3.77358490566038,20,1,3,0.25,4.63,4,4,0,0,0,0,23.1,26,13,12,2,6,0,25,0,0,1,97,93,2.9,1.371,10,0.8,2.3,9.6,4.17,TRUE,5.775,4.61205761316872,28,10,9,0.526,4.08,32,32,0,0,0,0,178.2,170,85,81,29,56,4,167,5,0,2,751,99,4.42,1.265,8.6,1.5,2.8,8.4,2.98,FALSE,5.56875,4.20750875403706
"OAK","TEX","Raul Alcantara","Martin Perez","Night","Grass",110,-120,"TEX",2,TRUE,21,"AL",159,74,85,0.465,2,4.6,5.1,-0.5,0.2,-0.3,"72-87",2,"7-13","46-35","28-50","4-9","21-21","56-60","18-25","24-25","50-60","8-2","15-5","17-13",28,"35-27","39-58","73-78","1-7","71-88",0.013,0.264,0.565,0.0999999999999999,0.402,-0.063,0.35,-0.115,0.568,0.103,0.359,-0.106,0.308,-0.157,0.5,0.035,0.483,0.018,0.419,-0.046,0.49,0.025,0.455,-0.01,0.8,0.335,0.75,0.285,0.567,0.102,0.483,0.018,0.125,-0.34,17,"AL",159,76,83,0.478,-7,4.9,5.1,-0.1,0.1,0,"78-81",-2,"14-6","39-39","37-44","5-5","13-24","54-65","22-18","18-30","58-53","3-7","6-14","12-18",26,"20-23","56-60","70-80","6-3","77-82",-0.013,0.233,0.465,-0.013,0.483,0.005,0.7,0.222,0.5,0.022,0.457,-0.021,0.5,0.022,0.351,-0.127,0.454,-0.024,0.55,0.0720000000000001,0.375,-0.103,0.523,0.045,0.3,-0.178,0.3,-0.178,0.4,-0.078,0.467,-0.011,0.667,0.189,158,23,26,4.56,541.1,274,297,200,515,0.248,3.40314465408805,157,22,25,4.8,504,269,300,223,453,0.269,3.16981132075472,24,1,1,0.5,6.86,7,3,2,0,0,0,19.2,17,17,15,4,10,1,10,3,1,0,88,63,6.76,1.373,7.8,1.8,4.6,4.6,1,FALSE,2.74285714285714,5.71679931616252,26,12,12,0.5,4.83,31,31,0,0,0,0,179,216,105,96,22,61,3,113,6,0,4,787,97,4.61,1.547,10.9,1.1,3.1,5.7,1.85,TRUE,5.7741935483871,4.81927323549965
"DET","MIN","Matt Boyd","Kyle Gibson","Night","Grass",155,-170,"MIN",3,TRUE,29,"AL",159,63,96,0.396,1,4.6,5.5,-1,0.2,-0.8,"66-93",-3,"8-12","34-47","29-49","1-4","16-23","42-74","21-22","27-38","36-58","1-9","4-16","7-23",39,"28-29","35-67","62-91","1-5","65-94",-0.019,0.245,0.491,0.095,0.343,-0.053,0.4,0.004,0.42,0.024,0.372,-0.024,0.2,-0.196,0.41,0.014,0.362,-0.034,0.488,0.092,0.415,0.019,0.383,-0.013,0.1,-0.296,0.2,-0.196,0.233,-0.163,0.405,0.00900000000000001,0.167,-0.229,11,"AL",159,83,76,0.522,-2,5,4.9,0.1,0.1,0.2,"81-78",2,"13-7","39-39","44-37","3-3","15-17","58-53","25-23","20-31","63-45","5-5","11-9","17-13",19,"27-33","56-43","80-73","3-3","82-77",0.013,0.201,0.45,-0.072,0.566,0.0439999999999999,0.65,0.128,0.5,-0.022,0.543,0.021,0.5,-0.022,0.469,-0.053,0.523,0.001,0.521,-0.001,0.392,-0.13,0.583,0.0609999999999999,0.5,-0.022,0.55,0.028,0.567,0.0449999999999999,0.523,0.001,0.5,-0.022,157,17,28,5.67,518.2,327,346,236,454,0.284,3.25911949685535,153,23,20,4.5,553.2,277,297,185,468,0.263,3.47924528301887,26,6,10,0.375,5.12,25,24,0,1,1,0,130,150,79,74,16,50,3,105,3,0,2,580,88,4.36,1.538,10.4,1.1,3.5,7.3,2.1,TRUE,5.2,5.34652328971782,29,12,10,0.545,5.02,28,28,0,0,0,0,154.1,175,90,86,23,60,0,115,5,0,4,675,89,4.86,1.523,10.2,1.3,3.5,6.7,1.92,FALSE,5.50357142857143,4.81813455307795
