"AwayTeam","HomeTeam","AwayP","HomeP","Away538Pct","Home538Pct"
"TOR","NYY","Joe Biagini","Masahiro Tanaka",35,65
"CIN","CHC","Robert Stephenson","Jose Quintana",31,69
"NYM","PHI","Matt Harvey","Ben Lively",45,55
"PIT","WSN","Gerrit Cole","Stephen Strasburg",34,66
"HOU","BOS","Charlie Morton","Doug Fister",52,48
"CHW","CLE","Mike Pelfrey","Trevor Bauer",27,73
"ATL","MIA","Luiz Gohara","Dan Straily",43,57
"BAL","TBR","Wade Miley","Jake Odorizzi",44,56
"OAK","TEX","Raul Alcantara","Martin Perez",45,55
"LAD","COL","Hyun-Jin Ryu","Chad Bettis",53,47
"DET","MIN","Matt Boyd","Kyle Gibson",37,63
"ARI","KCR","Zack Greinke","Ian Kennedy",59,41
"MIL","STL","Chase Anderson","John Gant",50,50
"SEA","LAA","Marco Gonzales","Tyler Skaggs",43,57
"SDP","SFG","Jordan Lyles","Chris Stratton",44,56
