"Tm","Rk","Lg","G","W","L","W-L%","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","abv500","bel500","last10","last20","last30","GB","DAY","NIGHT","GRASS","TURF","ExWL","LuckperG","OneRunPct","DAYpct","DAYdiff","NIGHTpct","NIGHTdiff","Interpct","Interdiff","Homepct","Homediff","Roadpct","Roaddiff","ExInnpct","ExInndiff","1Runpct","1Rundiff","vRHPpct","vRHPdiff","vLHPpct","vLHPdiff","abv500pct","abv500diff","bel500pct","bel500diff","last10pct","last10diff","last20pct","last20diff","last30pct","last30diff","GRASSpct","GRASSdiff","TURFpct","TURFdiff"
"ARI","6","NL",160,"92","68",".575","-1","5.0","4.1","0.9","-0.2","0.7","94-66",-2,"11-7","52-29","40-39","9-3","29-22","68-51","24-17","39-35","53-33","5-5","10-10","20-10","10","27-22","65-46","92-68","0-0","96-64",-0.012,0.319,0.551,-0.0239999999999999,0.586,0.011,0.611,0.036,0.642,0.0670000000000001,0.506,-0.069,0.75,0.175,0.569,-0.00600000000000001,0.571,-0.004,0.585,0.01,0.527,-0.0479999999999999,0.616,0.041,0.5,-0.075,0.5,-0.075,0.667,0.0920000000000001,0.575,0,NA,NA
"ATL","23","NL",160,"71","89",".444","-5","4.5","5.0","-0.5","-0.2","-0.7","72-88",-1,"9-11","37-44","34-45","6-8","19-24","56-74","15-15","25-37","46-52","4-6","9-11","13-17","31","21-28","50-61","69-89","2-0","71-89",-0.006,0.269,0.429,-0.015,0.45,0.00600000000000001,0.45,0.00600000000000001,0.457,0.013,0.43,-0.014,0.429,-0.015,0.442,-0.002,0.431,-0.013,0.5,0.056,0.403,-0.041,0.469,0.025,0.4,-0.044,0.45,0.00600000000000001,0.433,-0.011,0.437,-0.00700000000000001,1,0.556
"BAL","19","AL",160,"75","85",".469","-3","4.6","5.2","-0.6","0.3","-0.3","72-88",3,"8-12","46-35","29-50","12-4","21-19","49-62","26-23","25-46","50-39","2-8","4-16","10-20","27","23-26","52-59","66-77","9-8","71-89",0.019,0.25,0.469,0,0.468,-0.000999999999999945,0.4,-0.069,0.568,0.099,0.367,-0.102,0.75,0.281,0.525,0.056,0.441,-0.028,0.531,0.0620000000000001,0.352,-0.117,0.562,0.0930000000000001,0.2,-0.269,0.2,-0.269,0.333,-0.136,0.462,-0.00699999999999995,0.529,0.0600000000000001
"BOS","5","AL",160,"92","68",".575","-2","4.9","4.1","0.7","0.1","0.8","92-68",0,"16-4","47-32","45-36","15-3","22-18","74-49","18-19","26-22","66-46","6-4","13-7","19-11","10","24-23","68-45","79-63","13-5","93-67",0,0.25,0.511,-0.0639999999999999,0.602,0.027,0.8,0.225,0.595,0.02,0.556,-0.0189999999999999,0.833,0.258,0.55,-0.0249999999999999,0.602,0.027,0.486,-0.089,0.542,-0.0329999999999999,0.589,0.014,0.6,0.025,0.65,0.0750000000000001,0.633,0.0580000000000001,0.556,-0.0189999999999999,0.722,0.147
"CHC","7","NL",160,"91","69",".569","3","5.1","4.3","0.8","-0.2","0.6","92-68",-1,"12-8","47-32","44-37","7-3","26-17","70-55","21-14","35-35","56-34","7-3","14-6","21-9","11","36-35","55-34","90-68","1-1","93-67",-0.006,0.269,0.507,-0.0619999999999999,0.618,0.049,0.6,0.031,0.595,0.026,0.543,-0.0259999999999999,0.7,0.131,0.605,0.036,0.56,-0.0089999999999999,0.6,0.031,0.5,-0.069,0.622,0.053,0.7,0.131,0.7,0.131,0.7,0.131,0.57,0.001,0.5,-0.069
"CHW","27","AL",160,"66","94",".412","-1","4.4","5.1","-0.7","0.2","-0.5","69-91",-3,"6-14","39-42","27-52","5-5","20-23","46-68","20-26","22-48","44-46","6-4","12-8","14-16","36","25-29","41-65","63-91","3-3","68-92",-0.019,0.269,0.463,0.051,0.387,-0.025,0.3,-0.112,0.481,0.069,0.342,-0.07,0.5,0.088,0.465,0.053,0.404,-0.00799999999999995,0.435,0.023,0.314,-0.098,0.489,0.077,0.6,0.188,0.6,0.188,0.467,0.055,0.409,-0.003,0.5,0.088
"CIN","26","NL",160,"67","93",".419","-2","4.7","5.4","-0.7","0.0","-0.7","70-90",-3,"5-15","39-42","28-51","3-7","13-22","59-65","8-28","33-59","34-34","1-9","6-14","12-18","35","24-35","43-58","66-88","1-5","69-91",-0.019,0.219,0.407,-0.012,0.426,0.00700000000000001,0.25,-0.169,0.481,0.062,0.354,-0.065,0.3,-0.119,0.371,-0.048,0.476,0.057,0.222,-0.197,0.359,-0.06,0.5,0.081,0.1,-0.319,0.3,-0.119,0.4,-0.019,0.429,0.01,0.167,-0.252
"CLE","2","AL",160,"101","59",".631","3","5.1","3.5","1.6","-0.1","1.5","106-54",-5,"6-14","48-31","53-28","4-2","20-14","65-35","36-24","27-22","74-37","8-2","17-3","27-3","1","39-17","62-42","97-56","4-3","108-52",-0.031,0.212,0.696,0.0649999999999999,0.596,-0.035,0.3,-0.331,0.608,-0.023,0.654,0.023,0.667,0.036,0.588,-0.043,0.65,0.019,0.6,-0.031,0.551,-0.08,0.667,0.036,0.8,0.169,0.85,0.219,0.9,0.269,0.634,0.003,0.571,-0.0600000000000001
"COL","9","NL",160,"87","73",".544","3","5.1","4.7","0.5","-0.2","0.3","87-73",0,"10-10","46-33","41-40","2-3","21-14","59-54","28-19","37-33","50-40","5-5","12-8","16-14","15","36-22","51-51","87-73","0-0","87-73",0,0.219,0.621,0.077,0.5,-0.044,0.5,-0.044,0.582,0.0379999999999999,0.506,-0.038,0.4,-0.144,0.6,0.0559999999999999,0.522,-0.022,0.596,0.0519999999999999,0.529,-0.015,0.556,0.012,0.5,-0.044,0.6,0.0559999999999999,0.533,-0.011,0.544,0,NA,NA
"DET","30","AL",160,"63","97",".394","-1","4.6","5.5","-1.0","0.2","-0.8","66-94",-3,"8-12","34-47","29-50","1-4","16-23","42-75","21-22","27-39","36-58","1-9","3-17","6-24","39","27-30","36-67","62-92","1-5","65-95",-0.019,0.244,0.474,0.08,0.35,-0.044,0.4,0.00600000000000001,0.42,0.026,0.367,-0.027,0.2,-0.194,0.41,0.016,0.359,-0.035,0.488,0.094,0.409,0.015,0.383,-0.011,0.1,-0.294,0.15,-0.244,0.2,-0.194,0.403,0.00900000000000001,0.167,-0.227
